matrixID,userID,ISBN,bookRating,totalRatingCount
0,277427,002542730X,10,82
1,3363,002542730X,0,82
3,12538,002542730X,10,82
4,13552,002542730X,0,82
5,16795,002542730X,0,82
6,24194,002542730X,0,82
7,25981,002542730X,0,82
8,26535,002542730X,0,82
9,28204,002542730X,0,82
10,30533,002542730X,0,82
11,31826,002542730X,0,82
12,41084,002542730X,7,82
13,43246,002542730X,0,82
14,44728,002542730X,0,82
15,51883,002542730X,0,82
16,52584,002542730X,10,82
17,55548,002542730X,0,82
18,60244,002542730X,0,82
19,71712,002542730X,6,82
20,77809,002542730X,0,82
22,81045,002542730X,0,82
23,82407,002542730X,0,82
24,82831,002542730X,0,82
26,88733,002542730X,0,82
27,110934,002542730X,6,82
28,111947,002542730X,0,82
29,112026,002542730X,0,82
30,113270,002542730X,5,82
31,119575,002542730X,0,82
32,126604,002542730X,0,82
34,128835,002542730X,8,82
35,130474,002542730X,0,82
36,131837,002542730X,0,82
37,150979,002542730X,8,82
38,155147,002542730X,0,82
39,159858,002542730X,0,82
41,165308,002542730X,0,82
42,170518,002542730X,0,82
43,172030,002542730X,0,82
44,173291,002542730X,7,82
45,173415,002542730X,0,82
46,174216,002542730X,5,82
47,174304,002542730X,0,82
48,178667,002542730X,0,82
49,179733,002542730X,0,82
50,183995,002542730X,10,82
51,184299,002542730X,0,82
52,185233,002542730X,0,82
53,188010,002542730X,0,82
54,190807,002542730X,0,82
55,196077,002542730X,0,82
56,198711,002542730X,0,82
57,200226,002542730X,0,82
58,201526,002542730X,0,82
59,204864,002542730X,0,82
60,208671,002542730X,7,82
62,211426,002542730X,0,82
63,225763,002542730X,7,82
64,228998,002542730X,0,82
65,229741,002542730X,7,82
66,230249,002542730X,0,82
68,235842,002542730X,0,82
69,238120,002542730X,0,82
70,243077,002542730X,0,82
71,250405,002542730X,0,82
72,250962,002542730X,0,82
73,258938,002542730X,0,82
75,265313,002542730X,0,82
76,266226,002542730X,0,82
77,266865,002542730X,0,82
78,269566,002542730X,7,82
79,271705,002542730X,0,82
80,277427,60930535,0,133
81,254,60930535,0,133
82,6251,60930535,0,133
83,7346,60930535,0,133
85,13273,60930535,9,133
86,16634,60930535,0,133
87,16795,60930535,4,133
89,19664,60930535,0,133
90,21014,60930535,0,133
91,21659,60930535,0,133
92,22625,60930535,9,133
93,30533,60930535,8,133
94,31315,60930535,0,133
95,35050,60930535,0,133
96,35859,60930535,0,133
97,36606,60930535,0,133
98,36836,60930535,0,133
99,36907,60930535,0,133
100,39646,60930535,0,133
101,40943,60930535,0,133
102,43246,60930535,0,133
104,46398,60930535,0,133
105,48494,60930535,0,133
107,52584,60930535,0,133
108,55548,60930535,0,133
109,60244,60930535,0,133
110,60277,60930535,0,133
112,63394,60930535,0,133
113,63938,60930535,0,133
114,68555,60930535,0,133
115,69232,60930535,0,133
116,70052,60930535,0,133
117,70415,60930535,0,133
118,77809,60930535,8,133
119,78783,60930535,0,133
120,79186,60930535,0,133
121,81492,60930535,0,133
122,83637,60930535,0,133
123,85426,60930535,0,133
124,85526,60930535,8,133
126,87555,60930535,0,133
128,91931,60930535,0,133
129,93629,60930535,0,133
130,95932,60930535,0,133
131,98741,60930535,0,133
132,100846,60930535,0,133
133,102967,60930535,0,133
134,104429,60930535,0,133
135,105979,60930535,9,133
136,107784,60930535,9,133
137,108005,60930535,0,133
139,110912,60930535,0,133
140,110934,60930535,0,133
141,112001,60930535,10,133
142,112881,60930535,0,133
143,113270,60930535,8,133
144,113519,60930535,0,133
145,113904,60930535,8,133
146,114414,60930535,0,133
147,114868,60930535,0,133
148,114988,60930535,0,133
149,115120,60930535,0,133
150,124487,60930535,0,133
151,124942,60930535,0,133
152,125692,60930535,0,133
153,127429,60930535,0,133
154,128208,60930535,0,133
156,129074,60930535,0,133
157,130571,60930535,0,133
158,131046,60930535,0,133
159,135149,60930535,6,133
160,135831,60930535,0,133
161,136139,60930535,0,133
162,136205,60930535,0,133
163,136382,60930535,3,133
164,137589,60930535,9,133
165,138844,60930535,9,133
167,141493,60930535,6,133
168,142093,60930535,0,133
169,142524,60930535,0,133
170,145641,60930535,10,133
171,147847,60930535,0,133
172,159033,60930535,0,133
173,164027,60930535,5,133
174,174304,60930535,0,133
175,177090,60930535,0,133
176,178667,60930535,0,133
177,180586,60930535,0,133
178,185233,60930535,0,133
179,187145,60930535,0,133
180,192093,60930535,0,133
181,197364,60930535,0,133
182,199772,60930535,0,133
183,204864,60930535,9,133
184,209373,60930535,0,133
185,210792,60930535,0,133
186,217106,60930535,0,133
187,217375,60930535,0,133
188,229313,60930535,0,133
189,230522,60930535,0,133
191,233911,60930535,0,133
192,234828,60930535,3,133
193,235282,60930535,0,133
194,235392,60930535,0,133
195,235842,60930535,0,133
196,236757,60930535,8,133
197,236959,60930535,0,133
198,238120,60930535,0,133
199,238781,60930535,0,133
201,240568,60930535,0,133
202,242299,60930535,0,133
203,251394,60930535,0,133
204,252820,60930535,0,133
205,254465,60930535,0,133
206,260897,60930535,0,133
207,261829,60930535,0,133
208,263163,60930535,0,133
209,265313,60930535,0,133
210,268622,60930535,0,133
211,271195,60930535,5,133
212,273979,60930535,0,133
213,277427,60934417,0,108
214,6242,60934417,7,108
215,6575,60934417,9,108
216,7346,60934417,0,108
217,7915,60934417,0,108
218,10447,60934417,0,108
220,16795,60934417,0,108
221,21014,60934417,0,108
222,23768,60934417,8,108
223,29259,60934417,0,108
224,35859,60934417,9,108
225,36606,60934417,0,108
226,37712,60934417,10,108
227,39281,60934417,0,108
228,39646,60934417,0,108
229,43246,60934417,0,108
231,44728,60934417,0,108
233,55492,60934417,0,108
234,56959,60934417,0,108
235,61619,60934417,0,108
236,64436,60934417,7,108
237,68555,60934417,0,108
238,76352,60934417,6,108
239,76942,60934417,0,108
